symbol,category,problem
ABBV,count wrong,"Body said 'Two of the four long drivers are also carried from one bi-weekly FINRA report' - only si_change_pct among the four drivers (finra_short_ratio, gdelt_sentiment, si_change_pct, hn_attention) comes from the bi-weekly report; finra_short_ratio is the FINRA DAILY short-volume ratio. Changed to one."
ACN,count wrong,"Body said 'seven sources, three of them from one bi-weekly FINRA report' - three votes are FINRA readings, but only days_to_cover and si_change_pct come from the bi-weekly report; finra_short_ratio is the daily short-volume ratio. Reworded to two of the three."
AVGO,count wrong,"Body said 'Nine of the eleven votes are attention or mood sources with declared thesis signs' - only seven are (options_volume, gtrends_attention, bluesky_attention, bluesky_sentiment, hn_attention, apewisdom_attention, gdelt_sentiment); wiki_attention is attention but fitted, and the other three are fitted positioning. Changed to seven."
AVGO,source mislabelled,Body said the short does not mean 'any fitted relationship fired' - finra_short_ratio is fitted and votes short at -0.027; the four fitted sources on the row net long. Rewritten to say that.
AVGO,headline/quote fidelity,News context truncated the Motley Fool headline; restored the full title as it appears in the background news list.
BABA,ranking/ordering wrong,Body called marketaux_sentiment and st_disagreement 'the two loudest drivers' - st_disagreement (+0.021) is third behind gdelt_sentiment (+0.022). Changed to 'two of the loudest drivers'.
BNY,direction word wrong,"Body said the latest -0.062 score is 'well inside that day's -0.109 threshold' - the score is above (has not breached) the bottom-decile cut, so 'inside' reads backwards. Changed to 'well above'."
C,magnitude/arithmetic wrong,"Body said the score 'has more than halved' since entry - it went -0.129 to -0.072, which retains 56% of the entry magnitude. Changed to 'has shrunk by almost half'."
CAT,direction word wrong,"History misstated: ""the score ran negative through late August"" — 08-28 printed +0.111 (91st percentile, above that day's 0.111 cut). Rewritten to name the exception."
CL,unsupported company fact,"Company fact not in the background: ""pet nutrition"". glossary.backgrounds[CL].summary names the segments as ""Oral, Personal and Home Care; and Pet"". Replaced with the background's own wording."
COP,direction word wrong,"Headline and caveat said the two attention dissents ""cancel out"" / ""cancel each other"". Both contributions are negative (wiki_attention -0.043, gtrends_attention -0.029): they add to -0.072, they do not offset. Headline and caveat rewritten."
COP,direction word wrong,"""Both dissents are attention measures pointing opposite ways"" was ambiguous about direction — they sit at opposite ends of the pool (7th and 79th percentile) but both vote short. Clarified."
EMR,ranking/ordering wrong,"Headline superlative unsupported: ""the quietest options and search tape"". Options contract volume is in the 5th percentile and Google Trends in the 15th — quiet, but not the pool's quietest. Softened."
GD,count wrong,"Vote count wrong: headline said ""nine of ten sources vote long"". At entry eight of the ten contributions are positive; wiki_attention sits exactly at the median and contributes 0.000, and days_to_cover votes short at -0.004. Corrected to eight of ten."
GD,unsupported company fact,"Company fact not in the background: ""technology segments"". glossary.backgrounds[GD].summary is truncated after ""Aerospace, Marine Systems, Combat Systems, and"" — the fourth segment is never named. Rewritten to the three named segments."
GD,ranking/ordering wrong,"Superlative unsupported: ""the quietest options tape in the pool"". pct 0.0095 means one name in the 105-name pool ranks below it, so it is not the single quietest. Softened (headline likewise)."
HD,ranking/ordering wrong,"Vote sizes: the FINRA daily short-volume ratio (-0.044) was called 'the largest contribution in the row', but the bi-weekly short-interest change (+0.045) is larger; reworded to 'the biggest line pushing back'."
INTU,source mislabelled,"Caveat mislabelled the sources: Hacker News mentions is an attention source that dissented at entry (90th percentile) and still dissents, not a mood leg that made the entry; and the Alpha Vantage news-sentiment leg has no row on 09-11. Rewritten so only StockTwits sentiment is described as having reversed."
